,Country,Company Name,Summary,Founded,Industry,Sector,Headquarters,Notes
0,Canada,1-800-GOT-JUNK?,"RBDS Rubbish Boys Disposal Service Inc. (doing business as 1-800-GOT-JUNK?) is a Canadian franchised residential and commercial junk removal company operating in the United States, Canada, and Australia.",1989,Industrials,Waste & disposal services,Vancouver,Junk removal
1,Canada,Norda Stelo,"Norda Stelo (formerly Roche Ltd, Consulting Group) specializes in integrated projects. Founded in La Malbaie, Québec in 1963, it has over 1,800 employees (in 2013).",1963,Industrials,Construction & Materials,Quebec City,Integrated projects
2,Canada,3Way International Logistics,"3Way International Logistics Inc. is a freight forwarding company located in Mississauga, Ontario, Canada near Toronto Pearson International Airport.",2001,Industrials,Business support services,Mississauga,Freight forwarding
3,Canada,A Buck or Two,"A Buck or Two Stores Ltd. is a Canadian owned and operated chain of specialty retail stores that sell party supplies, cards and wrap, confection, school & office supplies, toys and crafts, seasonal items, housewares, hardware, and other essentials since 1988.",1988,Consumer services,Specialty retailers,Vaughan,Retail
4,Canada,Access Communications,"Access Communications is a Canadian telecommunications service provider operating in over 235 communities in Saskatchewan. Headquartered in Regina, the co-operative provides internet, cable television, telephone and security services to residential and business customers.",1974,Telecommunications,Fixed line telecommunications,Regina,Cable television provider
5,Canada,Ache Records,"Ache Records is an independent record label based in Vancouver, British Columbia, Canada. It was started by the musician Andy Dixon around 1999.",1999,Consumer services,Broadcasting & entertainment,Vancouver,Record label
6,Canada,Addition Elle,"Addition Elle is a Canadian clothing store chain that sells plus-size clothing.


== Summary ==
The name of the store (not affiliated with Elle magazine) is a pun on the French word additionelle, which translates to additional in English.",1967,Consumer services,Apparel retailers,Montreal,Women's clothing retailer
7,Canada,Advanced Cyclotron Systems,"Advanced Cyclotron Systems, Inc. (ACSI) is a company based in Richmond, British Columbia, Canada that supplies and services cyclotrons predominately used for the production of  medical isotopes by hospitals for nuclear medicine.",2003[10],Health care,Medical equipment,Richmond,Medical cyclotrons
8,Canada,Affinity Credit Union,"Affinity Credit Union is a financial institution in Saskatchewan, Canada, with headquarters in the city of Saskatoon. As of August 2019, Affinity operates 56 branches in 47 communities across Saskatchewan.",2005[11],Financials,Banks,Saskatoon,Credit union
9,Canada,Air Canada,"Air Canada is the flag carrier and the largest airline of Canada by fleet size and passengers carried. It is headquartered in the city of  Montreal, Quebec.",1937,Consumer services,Airlines,Montreal,"Flag carrier, largest airline of Canada"
10,Canada,Aldo Group,"The ALDO Group  branded as ALDO, is a Canadian multinational corporation retailer that owns and operates a worldwide chain of shoe and accessories stores. The company was founded by Aldo Bensadoun in Montreal, Quebec, in 1972, where its corporate headquarters remain today.",1972,Consumer services,Apparel retailers,Montreal,Footwear retailer
11,Canada,AldrichPears Associates,"AldrichPears Associates is an interpretive planning and exhibit design firm based in Vancouver, British Columbia, Canada. They specialize in developing immersive, interactive and hands-on interpretive experiences for mission-driven museums, science centers, interpretive centers, zoos, aquariums, botanical gardens, and children's museums around the world.",1979,Industrials,Business support services,Vancouver,Exhibit design
12,Canada,Algonquin Power & Utilities,Algonquin Power & Utilities Corp. is a Canadian renewable energy and regulated utility conglomerate with assets across North America.,1997,Utilities,Alternative electricity,Oakville,Renewable energy
13,Canada,Allied Shipbuilders,"Allied Shipbuilders Ltd is a privately held shipbuilding and ship repairing company established in Canada in 1948.


== Company profile ==

Founded in 1948 by Arthur McLaren (1919-1999), Allied Shipbuilders is one of the older continually operating commercial shipyards on the Pacific Coast of North America.",1948,Industrials,Commercial vehicles & trucks,North Vancouver,Shipyard
14,Canada,Alta Newspaper Group,Alta Newspaper Group Limited Partnership is a Vancouver-based publisher of newspapers in Western Canada and Quebec. It owns three small daily newspapers and more than a dozen weeklies.,1999,Consumer services,Publishing,Vancouver,Media holding
15,Canada,Alterra Power,"Alterra Power Corp. a subsidiary of Innergex Renewable Energy Inc., is a diversified renewable power generation company based in Vancouver, British Columbia, Canada.",2011,Utilities,Alternative electricity,Vancouver,Renewable energy
